dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	17	12	0.000861461801227649	0.0	53.39506172839506	0.0	0.0011405759908753922	0.0005702879954376961	324	sp|Q9Y2T7|YBOX2_HUMAN;sp|P16989|YBOX3_HUMAN;sp|P67809|YBOX1_HUMAN	True
sp|P20930|FILA_HUMAN	Filaggrin OS=Homo sapiens OX=9606 GN=FLG PE=1 SV=3	35	23	0.00014150349560267017	0.0	17.557251908396946	0.0	0.0011405759908753922	0.0005702879954376961	4061	sp|P20930|FILA_HUMAN	True
sp|Q9UII2|ATIF1_HUMAN	ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1	3	1	0.0004646730692526498	0.0	9.433962264150944	0.0	0.0011405759908753922	0.0005702879954376961	106	sp|Q9UII2|ATIF1_HUMAN	True
sp|Q9NRW3|ABC3C_HUMAN	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens OX=9606 GN=APOBEC3C PE=1 SV=2	4	4	0.0003456515462510939	0.0	24.736842105263158	0.0	0.0011405759908753922	0.0005702879954376961	190	sp|Q96AK3|ABC3D_HUMAN;sp|Q8IUX4|ABC3F_HUMAN;sp|Q9NRW3|ABC3C_HUMAN	True
sp|P49748|ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1	24	20	0.0006015920041622092	0.0	39.083969465648856	0.0	0.0011405759908753922	0.0005702879954376961	655	sp|P49748|ACADV_HUMAN	True
sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	31	14	0.001368204037243913	0.0	51.075268817204304	0.0	0.0011405759908753922	0.0005702879954376961	372	sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN	True
sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	45	18	0.002093003343092672	0.0	58.640226628895185	0.0	0.0011405759908753922	0.0005702879954376961	353	sp|Q32P51|RA1L2_HUMAN;sp|P22626|ROA2_HUMAN;sp|P09651|ROA1_HUMAN	True
sp|O75533|SF3B1_HUMAN	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	24	20	0.0003021800327655269	0.0	22.23926380368098	0.0	0.0011405759908753922	0.0005702879954376961	1304	sp|O75533|SF3B1_HUMAN	True
sp|Q02218|ODO1_HUMAN	2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=OGDH PE=1 SV=3	29	24	0.0004654301123762285	0.0	29.130009775171068	0.0	0.0011405759908753922	0.0005702879954376961	1023	sp|Q02218|ODO1_HUMAN;sp|Q9ULD0|OGDHL_HUMAN	True
sp|P18077|RL35A_HUMAN	60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2	5	5	0.0007462931112239527	0.0	38.18181818181819	0.0	0.0011405759908753922	0.0005702879954376961	110	sp|P18077|RL35A_HUMAN	True
sp|P27816|MAP4_HUMAN	Microtubule-associated protein 4 OS=Homo sapiens OX=9606 GN=MAP4 PE=1 SV=3	13	12	0.00018527763004344658	0.0	13.194444444444445	0.0	0.0011405759908753922	0.0005702879954376961	1152	sp|P27816|MAP4_HUMAN	True
sp|P20962|PTMS_HUMAN	Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2	2	1	0.0003219303617044502	0.0	11.76470588235294	0.0	0.0011405759908753922	0.0005702879954376961	102	sp|P20962|PTMS_HUMAN	True
