dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P09493|TPM1_HUMAN	Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2	29	17	0.0012449010472355495	0.0	53.52112676056338	0.0	0.0005188067444876783	0.0	284	sp|P06753|TPM3_HUMAN;sp|P09493|TPM1_HUMAN;sp|P07951|TPM2_HUMAN;sp|P67936|TPM4_HUMAN	True
sp|P07951|TPM2_HUMAN	Tropomyosin beta chain OS=Homo sapiens OX=9606 GN=TPM2 PE=1 SV=1	19	12	0.0008156248240508773	0.0	38.028169014084504	0.0	0.0005188067444876783	0.0	284	sp|P06753|TPM3_HUMAN;sp|P09493|TPM1_HUMAN;sp|P07951|TPM2_HUMAN;sp|P67936|TPM4_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	35	22	0.0005172128070855324	0.0	28.96969696969697	0.0	0.0005188067444876783	0.0	825	sp|Q00839|HNRPU_HUMAN	True
sp|O60814|H2B1K_HUMAN	Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=HIST1H2BK PE=1 SV=3	56	7	0.005418419883753196	0.0	47.61904761904761	0.0	0.0005188067444876783	0.0	126	sp|O60814|H2B1K_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|P23527|H2B1O_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q99880|H2B1L_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q8N257|H2B3B_HUMAN	True
sp|P33778|H2B1B_HUMAN	Histone H2B type 1-B OS=Homo sapiens OX=9606 GN=HIST1H2BB PE=1 SV=2	51	7	0.004934632394132376	0.0	47.61904761904761	0.0	0.0005188067444876783	0.0	126	sp|O60814|H2B1K_HUMAN;sp|Q6DRA6|H2B2D_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|P23527|H2B1O_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|P57053|H2BFS_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q99880|H2B1L_HUMAN;sp|Q6DN03|H2B2C_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q8N257|H2B3B_HUMAN	True
sp|P10412|H14_HUMAN	Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2	26	8	0.0014473861333313333	0.0	37.44292237442922	0.0	0.0005188067444876783	0.0	219	sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN;sp|P22492|H1T_HUMAN;sp|P16401|H15_HUMAN;sp|P16403|H12_HUMAN;sp|Q02539|H11_HUMAN	True
sp|P16401|H15_HUMAN	Histone H1.5 OS=Homo sapiens OX=9606 GN=HIST1H1B PE=1 SV=3	20	9	0.00107888891490661	0.0	35.84070796460177	0.0	0.0005188067444876783	0.0	226	sp|P10412|H14_HUMAN;sp|P16402|H13_HUMAN;sp|P22492|H1T_HUMAN;sp|P16401|H15_HUMAN;sp|P16403|H12_HUMAN;sp|Q02539|H11_HUMAN	True
sp|Q09666|AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens OX=9606 GN=AHNAK PE=1 SV=2	280	204	0.000579559342404841	0.0	64.53310696095076	0.0	0.0005188067444876783	0.0	5890	sp|Q09666|AHNK_HUMAN	True
sp|P06748|NPM_HUMAN	Nucleophosmin OS=Homo sapiens OX=9606 GN=NPM1 PE=1 SV=2	48	14	0.0019904399572970924	0.0	54.421768707483	0.0	0.0005188067444876783	0.0	294	sp|P06748|NPM_HUMAN	True
sp|P07910|HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens OX=9606 GN=HNRNPC PE=1 SV=4	40	18	0.0015936529069862345	0.0	66.33986928104575	0.0	0.0005188067444876783	0.0	306	sp|B2RXH8|HNRC2_HUMAN;sp|O60812|HNRC1_HUMAN;sp|P07910|HNRPC_HUMAN;sp|P0DMR1|HNRC4_HUMAN;sp|B7ZW38|HNRC3_HUMAN;sp|Q86SE5|RALYL_HUMAN	True
