dbname	description	PSMs	peptides	NSAF	TOP3	sq	score	q	q_uncorrected	length	all proteins	groupleader
sp|P16401|H15_HUMAN	Histone H1.5 OS=Homo sapiens OX=9606 GN=HIST1H1B PE=1 SV=3	15	7	0.0007493282105872841	0.0	29.20353982300885	0.0	0.0009229349330872173	0.00046146746654360867	226	sp|P16403|H12_HUMAN;sp|P16401|H15_HUMAN;sp|P10412|H14_HUMAN;sp|P22492|H1T_HUMAN;sp|P16402|H13_HUMAN;sp|Q02539|H11_HUMAN	True
sp|O60814|H2B1K_HUMAN	Histone H2B type 1-K OS=Homo sapiens OX=9606 GN=HIST1H2BK PE=1 SV=3	42	7	0.0037632927909494705	0.0	47.61904761904761	0.0	0.0009229349330872173	0.00046146746654360867	126	sp|P23527|H2B1O_HUMAN;sp|Q99880|H2B1L_HUMAN;sp|P62807|H2B1C_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q96A08|H2B1A_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|P58876|H2B1D_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|P33778|H2B1B_HUMAN	True
sp|P67809|YBOX1_HUMAN	Nuclease-sensitive element-binding protein 1 OS=Homo sapiens OX=9606 GN=YBX1 PE=1 SV=3	34	14	0.0011847403230766853	0.0	55.55555555555556	0.0	0.0009229349330872173	0.00046146746654360867	324	sp|P67809|YBOX1_HUMAN;sp|Q9Y2T7|YBOX2_HUMAN;sp|P16989|YBOX3_HUMAN	True
sp|P10412|H14_HUMAN	Histone H1.4 OS=Homo sapiens OX=9606 GN=HIST1H1E PE=1 SV=2	23	5	0.0011856949889292852	0.0	22.831050228310502	0.0	0.0009229349330872173	0.00046146746654360867	219	sp|P16401|H15_HUMAN;sp|P10412|H14_HUMAN;sp|P16403|H12_HUMAN;sp|P22492|H1T_HUMAN;sp|P16402|H13_HUMAN;sp|Q02539|H11_HUMAN	True
sp|P52272|HNRPM_HUMAN	Heterogeneous nuclear ribonucleoprotein M OS=Homo sapiens OX=9606 GN=HNRNPM PE=1 SV=3	58	36	0.0008970040351030246	0.0	58.76712328767123	0.0	0.0009229349330872173	0.00046146746654360867	730	sp|P52272|HNRPM_HUMAN	True
sp|Q00839|HNRPU_HUMAN	Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6	38	23	0.0005200186402039269	0.0	31.87878787878788	0.0	0.0009229349330872173	0.00046146746654360867	825	sp|Q00839|HNRPU_HUMAN	True
sp|P09651|ROA1_HUMAN	Heterogeneous nuclear ribonucleoprotein A1 OS=Homo sapiens OX=9606 GN=HNRNPA1 PE=1 SV=5	52	16	0.001578155041365907	0.0	53.2258064516129	0.0	0.0009229349330872173	0.00046146746654360867	372	sp|P22626|ROA2_HUMAN;sp|Q32P51|RA1L2_HUMAN;sp|P51991|ROA3_HUMAN;sp|P09651|ROA1_HUMAN	True
sp|P22626|ROA2_HUMAN	Heterogeneous nuclear ribonucleoproteins A2/B1 OS=Homo sapiens OX=9606 GN=HNRNPA2B1 PE=1 SV=2	69	17	0.0022068034213216445	0.0	56.09065155807366	0.0	0.0009229349330872173	0.00046146746654360867	353	sp|P22626|ROA2_HUMAN;sp|P09651|ROA1_HUMAN;sp|Q32P51|RA1L2_HUMAN	True
sp|P11021|BIP_HUMAN	Endoplasmic reticulum chaperone BiP OS=Homo sapiens OX=9606 GN=HSPA5 PE=1 SV=2	120	34	0.0020715373161189748	0.0	58.71559633027523	0.0	0.0009229349330872173	0.00046146746654360867	654	sp|P11021|BIP_HUMAN;sp|P54652|HSP72_HUMAN;sp|P34931|HS71L_HUMAN;sp|P0DMV8|HS71A_HUMAN;sp|P11142|HSP7C_HUMAN;sp|P0DMV9|HS71B_HUMAN	True
sp|Q07065|CKAP4_HUMAN	Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2	49	28	0.0009189435884876616	0.0	54.15282392026578	0.0	0.0009229349330872173	0.00046146746654360867	602	sp|Q07065|CKAP4_HUMAN	True
sp|O00422|SAP18_HUMAN	Histone deacetylase complex subunit SAP18 OS=Homo sapiens OX=9606 GN=SAP18 PE=1 SV=1	5	5	0.00036895027362249716	0.0	33.98692810457516	0.0	0.0009229349330872173	0.00046146746654360867	153	sp|O00422|SAP18_HUMAN	True
sp|P06733|ENOA_HUMAN	Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2	43	19	0.0011185824194296814	0.0	61.9815668202765	0.0	0.0009229349330872173	0.00046146746654360867	434	sp|P06733|ENOA_HUMAN;sp|P09104|ENOG_HUMAN;sp|P13929|ENOB_HUMAN	True
sp|P49748|ACADV_HUMAN	Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1	31	23	0.0005343301214630546	0.0	46.10687022900763	0.0	0.0009229349330872173	0.00046146746654360867	655	sp|P49748|ACADV_HUMAN	True
sp|P18077|RL35A_HUMAN	60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2	7	6	0.0007184468055448989	0.0	44.54545454545455	0.0	0.0009229349330872173	0.00046146746654360867	110	sp|P18077|RL35A_HUMAN	True
sp|O75533|SF3B1_HUMAN	Splicing factor 3B subunit 1 OS=Homo sapiens OX=9606 GN=SF3B1 PE=1 SV=3	38	31	0.0003289995231351531	0.0	33.20552147239264	0.0	0.0009229349330872173	0.00046146746654360867	1304	sp|O75533|SF3B1_HUMAN	True
sp|P20962|PTMS_HUMAN	Parathymosin OS=Homo sapiens OX=9606 GN=PTMS PE=1 SV=2	2	2	0.00022137016417349829	0.0	22.54901960784314	0.0	0.0009229349330872173	0.00046146746654360867	102	sp|P20962|PTMS_HUMAN	True
